dtype,threads,M,KN,GFLOPS
f32,1,1,512,3.78
f32,1,128,512,33.20
f32,1,512,512,33.76
f32,1,2048,512,34.04
f32,1,1,1024,3.60
f32,1,128,1024,31.59
f32,1,512,1024,32.69
f32,1,2048,1024,32.51
f32,1,1,2048,3.75
f32,1,128,2048,25.98
f32,1,512,2048,26.32
f32,1,2048,2048,23.72
f32,2,1,512,9.96
f32,2,128,512,54.46
f32,2,512,512,52.53
f32,2,2048,512,56.12
f32,2,1,1024,4.90
f32,2,128,1024,51.60
f32,2,512,1024,51.84
f32,2,2048,1024,53.31
f32,2,1,2048,4.41
f32,2,128,2048,39.93
f32,2,512,2048,42.56
f32,2,2048,2048,42.46
f32,4,1,512,9.62
f32,4,128,512,63.75
f32,4,512,512,62.67
f32,4,2048,512,66.79
f32,4,1,1024,5.80
f32,4,128,1024,61.83
f32,4,512,1024,64.21
f32,4,2048,1024,66.15
f32,4,1,2048,5.80
f32,4,128,2048,49.21
f32,4,512,2048,53.43
f32,4,2048,2048,52.28
bf16,1,1,512,1.68
bf16,1,128,512,20.71
bf16,1,512,512,19.93
bf16,1,2048,512,19.88
bf16,1,1,1024,0.99
bf16,1,128,1024,15.74
bf16,1,512,1024,12.40
bf16,1,2048,1024,14.99
bf16,1,1,2048,0.91
bf16,1,128,2048,14.99
bf16,1,512,2048,11.54
bf16,1,2048,2048,12.87
bf16,2,1,512,2.71
bf16,2,128,512,32.03
bf16,2,512,512,23.13
bf16,2,2048,512,32.94
bf16,2,1,1024,1.75
bf16,2,128,1024,26.68
bf16,2,512,1024,26.77
bf16,2,2048,1024,26.64
bf16,2,1,2048,1.60
bf16,2,128,2048,25.02
bf16,2,512,2048,25.89
bf16,2,2048,2048,25.59
bf16,4,1,512,4.14
bf16,4,128,512,37.56
bf16,4,512,512,38.66
bf16,4,2048,512,39.43
bf16,4,1,1024,2.78
bf16,4,128,1024,32.54
bf16,4,512,1024,32.85
bf16,4,2048,1024,32.80
bf16,4,1,2048,2.73
bf16,4,128,2048,32.66
bf16,4,512,2048,32.60
bf16,4,2048,2048,29.70
